"","x"
"249",165.630004882812
"250",166.850006103516
"251",165.279998779297
"252",165.809997558594
"253",167.380004882812
"254",168.199996948242
"255",170.009994506836
"256",170.380004882812
"257",169.320007324219
"258",169
"259",169.119995117188
"260",169.210006713867
"261",169.5
"262",170.550003051758
"263",173.919998168945
"264",172.460006713867
"265",175.009994506836
"266",172.600006103516
"267",171.869995117188
"268",170.850006103516
"269",172.949996948242
"270",175.100006103516
"271",177.300003051758
"272",175.729995727539
"273",176.020004272461
"274",177.639999389648
"275",176.479995727539
"276",177.839996337891
"277",178.309997558594
"278",182.830001831055
"279",182.880004882812
"280",185.809997558594
"281",187.449996948242
"282",185.220001220703
"283",183.25
"284",184.149993896484
"285",184.100006103516
"286",184.020004272461
"287",191.979995727539
"288",191.75
"289",191.5
"290",191.039993286133
"291",192.139999389648
"292",189.660003662109
"293",189.119995117188
"294",183.309997558594
"295",186.800003051758
"296",186.800003051758
"297",192.610000610352
"298",191.449996948242
"299",189.479995727539
"300",190.990005493164
"301",192.320007324219
